GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
QpidJMS Discovery Library,org.apache.qpid.jms.provider.discovery.multicast.parsers,ActiveMQPacketParser,130,11,6,0,27,4,7,3,4,3
QpidJMS Discovery Library,org.apache.qpid.jms.provider.discovery.multicast.parsers,ActiveMQPacketParserFactory,12,7,0,0,2,2,2,2,2,2
QpidJMS Discovery Library,org.apache.qpid.jms.provider.discovery.file,FileWatcherDiscoveryAgent.new Runnable() {...},16,0,0,0,4,0,2,0,2,0
QpidJMS Discovery Library,org.apache.qpid.jms.provider.discovery.file,FileWatcherDiscoveryAgentFactory,40,0,2,0,9,0,4,0,3,0
QpidJMS Discovery Library,org.apache.qpid.jms.provider.discovery.file,FileWatcherDiscoveryAgent,353,0,34,0,95,0,35,0,18,0
QpidJMS Discovery Library,org.apache.qpid.jms.provider.discovery.multicast,MulticastDiscoveryAgent,568,56,78,0,154,18,69,5,30,5
QpidJMS Discovery Library,org.apache.qpid.jms.provider.discovery.multicast,DiscoveryEvent,15,0,0,0,6,0,3,0,3,0
QpidJMS Discovery Library,org.apache.qpid.jms.provider.discovery.multicast,MulticastDiscoveryAgent.RemoteBrokerData,22,0,0,0,7,0,4,0,4,0
QpidJMS Discovery Library,org.apache.qpid.jms.provider.discovery.multicast,DiscoveryEvent.EventType,38,0,0,0,3,0,4,0,4,0
QpidJMS Discovery Library,org.apache.qpid.jms.provider.discovery.multicast,PacketParserFactory,32,39,2,2,7,14,2,4,0,4
QpidJMS Discovery Library,org.apache.qpid.jms.provider.discovery.multicast,MulticastDiscoveryAgentFactory,23,37,4,2,3,12,4,2,1,2
QpidJMS Discovery Library,org.apache.qpid.jms.provider.discovery,DiscoveryProvider,136,22,18,0,39,7,18,3,9,3
QpidJMS Discovery Library,org.apache.qpid.jms.provider.discovery,DiscoveryProvider.new ThreadFactory() {...},35,0,0,0,5,0,2,0,2,0
QpidJMS Discovery Library,org.apache.qpid.jms.provider.discovery,DiscoveryProviderFactory,2,115,0,4,1,27,1,4,1,2
QpidJMS Discovery Library,org.apache.qpid.jms.provider.discovery,DiscoveryAgentFactory,33,45,3,3,7,15,3,4,0,4
